Electricity Load [J],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
13.442889942541491,9.511342667922005,1.4353092559350722,0.0,3.0,3.0
13.442889942541491,12.209480530722661,2.6418357833163824,0.0,3.0,3.0
13.442889942541491,35.82986269365506,5.3235913129701276,0.0,3.0,3.0
18.336058690846233,106.7816761765371,4.869316513505717,0.0,3.0,3.0
37.10913768677253,111.5028114833147,5.944573153624204,0.0496875,3.0,3.0
84.58455587728426,64.32652541250475,12.36173683520548,0.306,3.0,3.0
74.4303518713809,41.20820997497068,14.024460621948093,0.556,3.0,3.0
72.28260950180305,32.559234747237745,18.364768162248183,0.612125,3.0,3.0
74.21670290839647,27.978515728078765,21.410911330477354,0.706375,3.0,3.0
75.21995504444162,36.61959006857634,21.297895046971462,0.569125,3.0,3.0
75.82844741389097,26.51879185177075,22.441067482430956,0.1351875,3.0,3.0
72.82448352401897,20.97999725515616,22.53669783626857,0.366,3.625,3.625
77.61447669684712,25.139854788727682,19.17010243674959,0.0305,4.0,4.0
82.19581174416012,28.721480578769956,20.688418525192613,0.0,4.0,4.0
57.41216647569334,45.400735472058024,14.989289810329069,0.0,4.0,4.0
30.156088958162037,50.659512589997696,10.113634739252088,0.0,4.0,4.0
27.57729774937083,46.510173083828555,8.647652626449306,0.0,4.0,4.0
23.92397220829688,48.422239110203634,8.000072378516405,0.0,4.0,4.0
22.634576603901273,49.47564174066501,7.200648332861549,0.0,4.0,4.0
18.98125106282732,0.0,0.0,0.0,4.0,4.0
17.15458829229034,0.0,0.0,0.0,4.0,4.0
13.70432548048421,3.6368661724201483,1.294192544707983,0.0,4.0,4.0
13.442889942541491,4.661678033850632,1.18438548769156,0.0,4.0,4.0
13.442889942541491,7.16328081320609,1.6242126156620733,0.0,2.75,2.75
13.442889942541491,6.826190045889974,1.4747331415339904,0.0,2.0,2.0
13.442889942541491,5.830820181938277,0.951697282122907,0.0,2.0,2.0
13.442889942541491,39.961719278234746,7.8161430694542835,0.0,2.0,2.0
18.336058690846233,95.67245527711528,6.5004613803791855,0.0,2.0,2.0
37.125044497609196,103.75581531260053,6.070342944622036,0.0264375,2.0,2.0
84.0227891081095,61.89030785383894,12.63935075416801,0.10575,2.625,2.625
74.62225886088319,46.5031365930663,13.45743931612778,0.067125,3.0,3.0
72.28260950180305,28.24699882205724,15.789218706823934,0.23325,3.0,3.0
74.28033015174313,27.8276094650078,16.90611592882813,0.0194375,3.0,3.0
75.25176866611494,34.736177970752834,16.266578972896035,0.086625,3.0,3.0
75.82844741389097,18.843465493719524,23.561889233381574,0.3465,3.0,3.0
72.88591751492599,19.527932469555182,19.057737109689604,0.028875,2.375,2.375
75.7498288852052,21.095728162470095,18.724288761615,0.0,2.0,2.0
82.19581174416012,24.249785130116365,20.889450190218103,0.0,2.0,2.0
57.41216647569334,40.791121835285104,15.780966631407837,0.0,2.0,2.0
30.156088958162037,45.45383360622848,10.625575570263731,0.0,2.0,2.0
27.57729774937083,42.0302218623051,9.059651873327486,0.0,2.0,2.0
23.92397220829688,44.26908838518151,8.368808949669951,0.0,1.375,1.375
22.634576603901273,46.25794175656481,7.6636289891881075,0.0,1.0,1.0
18.98125106282732,0.0,0.0,0.0,1.0,1.0
17.15458829229034,0.0,0.0,0.0,1.0,1.0
13.70432548048421,0.0,0.0,0.0,1.0,1.0
13.442889942541491,0.0,0.0,0.0,1.0,1.0
13.442889942541491,6.766116028047047,1.7153643675399675,0.0,1.625,1.625
13.442889942541491,7.929195281471989,1.545752222036737,0.0,2.0,2.0
13.442889942541491,5.799966280414859,0.9373208471031164,0.0,2.0,2.0
13.442889942541491,40.24242034852378,8.132280882858295,0.0,2.0,2.0
18.336058690846233,94.50544664367652,6.967058196983006,0.0,2.0,2.0
37.125044497609196,101.81127178964519,6.145894309131144,0.02925,2.0,2.0
84.07815422782643,59.67152816945167,12.730828754638159,0.117,2.0,2.0
