Electricity Load [J],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
71.33876087219194,77.83235267617545,0.0,0.0,4.0,4.0
67.88736483844153,81.09871315038272,0.0,0.0,4.0,4.0
66.02732969121233,84.91488259044708,0.0,0.0,4.0,4.0
58.430063596181654,88.65305773793308,0.0,0.0,4.0,4.0
46.18270963307773,96.84991179175567,0.0,0.0,4.0,4.0
35.50854379335107,105.27567973760817,0.0,0.0,4.0,4.0
27.33360029357292,113.54864702275756,0.0,0.0,4.0,4.0
25.47356514634371,118.28515989986883,0.0,0.0,4.0,4.0
24.54354757272914,105.42181094938896,0.0,0.0,2.75,2.75
24.07853878592184,98.55259023857444,0.0,0.0,2.0,2.0
26.577761125870513,101.52373005458756,0.0,0.0,2.0,2.0
33.53185673642541,101.25287069849543,0.0,0.0,2.0,2.0
43.10294645997117,96.22600233915888,0.0,0.0,2.0,2.0
49.958243229241965,94.33540747318881,0.0,0.0264375,2.0,2.0
49.22865396302196,96.19246276208347,0.0,0.10575,2.625,2.625
45.88992654721165,90.46993078228645,0.0,0.067125,3.0,3.0
42.73334412082626,65.21628580196634,0.0,0.23325,3.0,3.0
43.19835290763354,68.67232997640508,0.0,0.0194375,3.0,3.0
42.549621892823666,64.98757581497962,0.0,0.086625,3.0,3.0
41.33831776040424,49.790399207226635,0.8665851779455301,0.3465,3.0,3.0
40.873308973596956,57.18327844207824,0.0,0.028875,2.375,2.375
43.376514670588755,57.357836485979135,0.0,0.0,2.0,2.0
55.62897172350814,59.49552669377886,0.0,0.0,2.0,2.0
68.8193023787293,53.84179054804448,0.0,0.0,2.0,2.0
71.33876087219194,52.03855084538541,0.0,0.0,2.0,2.0
67.88736483844153,56.2350457061391,0.0,0.0,2.0,2.0
66.02732969121233,53.221657384254996,0.0,0.0,1.375,1.375
58.430063596181654,53.79721499530741,0.0,0.0,1.0,1.0
46.18270963307773,62.716511279609634,0.0,0.0,1.0,1.0
35.50854379335107,71.81670793974807,0.0,0.0,1.0,1.0
27.33360029357292,81.03024840475615,0.0,0.0,1.0,1.0
25.47356514634371,86.00069473106464,0.0,0.0,1.0,1.0
24.54354757272914,99.17937823000595,0.0,0.0,1.625,1.625
24.07853878592184,107.63816864899798,0.0,0.0,2.0,2.0
26.577761125870513,108.79673590202472,0.0,0.0,2.0,2.0
33.53185673642541,106.44113036266707,0.0,0.0,2.0,2.0
43.10294645997117,99.57094054730011,0.0,0.0,2.0,2.0
49.958243229241965,95.94709104918803,0.0,0.02925,2.0,2.0
49.22865396302196,88.87515864948769,0.0,0.117,2.0,2.0
45.88992654721165,81.99946133708238,0.0,0.0735,2.0,2.0
42.73334412082626,58.457163416448154,0.4515891236422129,0.3298125,2.0,2.0
43.19835290763354,47.132410216903075,2.3473465507663342,0.4045,2.0,2.0
42.549621892823666,42.71153888511249,3.7982328372386442,0.3609375,2.0,2.0
41.33831776040424,55.27289852504081,0.26454949307996906,0.028,2.0,2.0
40.873308973596956,78.29476322923975,0.0,0.0,3.25,3.25
43.376514670588755,92.72956123658459,0.0,0.0,4.0,4.0
55.62897172350814,95.50640106237984,0.0,0.0,4.0,4.0
68.8193023787293,91.22491470105336,0.0,0.0,4.0,4.0
71.33876087219194,90.47470007374208,0.0,0.0,4.0,4.0
67.88736483844153,94.58960537884282,0.0,0.0,4.0,4.0
66.02732969121233,81.76103964395215,0.0,0.0,2.75,2.75
58.430063596181654,75.83431971959335,0.0,0.0,2.0,2.0
46.18270963307773,84.7977561067449,0.0,0.0,2.0,2.0
35.50854379335107,94.18737723885273,0.0,0.0,2.0,2.0
27.33360029357292,103.52649796690257,0.0,0.0,2.0,2.0
25.47356514634371,108.99646615039613,0.0,0.0,2.0,2.0
